person_name,acct_num,card_company,card_number,txn_datetime,merch_name,merch_cat,txn_amount,currency,pay_meth,city,txn_type,bill_cyc,txn_status
mdavis,GB38NHOW13349091488608,chhupay,342454694526340,2025-06-07 00:52:05,Westside,Grocery,43720.49,INR,Debit Card,New Williamfort,Withdrawal,March,Pending
tanya26,GB16FUNG18860530658132,VISA,6011258265707099,2025-11-05 22:44:18,Reliance Digital,Clothing,61222.95,INR,Debit Card,Angelaberg,Refund,September,Pending
wilsonemily,GB36FOPI91041735344900,rupay,4714359932698,2025-03-23 21:08:14,FirstCry,Travel,26118.91,INR,Credit Card,Susanchester,Refund,November,Reversed
sarahjackson,GB11QQPB18357598338338,amex,2579949907097054,2025-11-20 02:30:42,Pantaloons,Clothing,23871.72,INR,Credit Card,Smallview,Withdrawal,July,Approved
cbrown,GB61YYNN06021795474934,saphiro,3595739305293506,2025-07-30 03:56:16,Myntra,Electronics,2629.92,INR,Debit Card,East Jonathan,Purchase,December,Pending
jjensen,GB16FQNG83821399712772,VISA,6578170430934638,2025-04-20 11:06:58,Central,Electronics,7734.35,INR,NEFT,North Monicaton,Withdrawal,August,Pending
janice52,GB52CBRE05483382404922,amex,6011125725118557,2025-04-17 05:04:13,Amazon India,Travel,92645.27,INR,UPI,East Amandafurt,Refund,November,Pending
npacheco,GB25DPOR11482981465620,Mastercard,180057377116639,2025-04-25 11:41:39,Brand Factory,Grocery,94856.40,INR,NEFT,Davidhaven,Refund,September,Pending
heidi94,GB95SNTZ58604673979015,VISA,342805295483977,2025-01-05 14:13:49,Pantaloons,Dining,3926.32,INR,UPI,Pricetown,Deposit,January,Approved
ryan12,GB13ULQY93541259491036,amex,6546948701950279,2025-08-06 19:41:47,Flipkart,Electronics,19223.57,INR,Debit Card,Thomasport,Withdrawal,November,Approved
ginalong,GB04WCWQ82720727866583,Mastercard,4532673541039296,2025-10-13 15:29:00,IKEA India,Dining,16280.59,INR,Bank Transfer,New Jeffreyview,Withdrawal,January,Approved
omartinez,GB53XDFG88463958256963,amex,373176141243987,2025-09-24 10:31:44,Metro Cash & Carry India,Electronics,85955.17,INR,NEFT,Port Andrea,Withdrawal,July,Declined
barajasjeffery,GB22PJAK67697348975139,VISA,3518549952787773,2025-12-14 19:54:33,Reliance Fresh,Dining,25511.64,INR,RTGS,Kellybury,Withdrawal,August,Declined
kylematthews,GB63CJKF88390912876035,amex,4889885582601078,2025-09-28 02:28:04,Shoppers Stop,Clothing,57828.54,INR,Mobile Payment,Parkhaven,Purchase,December,Reversed
oharrell,GB69WGRJ25365757175822,Mastercard,4800847332974891049,2025-06-03 18:11:31,BlueStone,Health,68202.53,INR,Credit Card,Smithtown,Purchase,November,Approved
miguel71,GB45CCWG65223563109258,VISA,4283987137302,2025-03-22 22:16:05,Metro Cash & Carry India,Grocery,86247.95,INR,Debit Card,Bryanstad,Withdrawal,April,Reversed
richard83,GB49XGHR93288190008375,VISA,180097377613706,2025-04-16 21:42:24,Bewakoof,Electronics,84153.54,INR,Bank Transfer,Lake Kevin,Refund,December,Pending
bookerkelly,GB73OETH21084109364473,Maestro,4653485956951755,2025-05-17 22:14:40,Metro Cash & Carry India,Electronics,14469.73,INR,Debit Card,New Kennethton,Deposit,June,Approved
wardrobin,GB88VOMW49528604177089,rupay,4638203648856476,2025-01-22 15:34:02,HyperCity,Dining,1013.78,INR,Credit Card,Lake Connie,Deposit,October,Pending
mullinsjessica,GB27HGDO20447263139218,amex,4850621838658918,2025-12-20 03:15:48,Reliance Fresh,Travel,35506.46,INR,Bank Transfer,Lake Jameschester,Deposit,September,Declined
barajasjeffery,GB85IKGW52146687563740,rupay,675980325657,2025-11-21 19:46:31,DMart,Travel,39712.66,INR,RTGS,West Russell,Refund,January,Reversed
perrymichelle,GB78ZWXU92822827783948,Maestro,3537470844917600,2025-09-05 12:35:24,V-Mart Retail Ltd,Electronics,22881.16,INR,NEFT,East Amy,Purchase,August,Pending
elopez,GB19CHPV23295181109380,Diners Club,6011659733880105,2025-05-04 01:54:42,Titan Company,Dining,29628.02,INR,Bank Transfer,North Johnberg,Withdrawal,May,Approved
kayla40,GB13VYDJ73292987043844,Discover,639063240308,2025-02-17 04:04:29,Reliance Fresh,Travel,75316.48,INR,UPI,West Christine,Refund,February,Reversed
james37,GB10FDFL75780871627464,Diners Club,38657631239517,2025-12-03 02:29:29,Titan Company,Health,54290.30,INR,Debit Card,Lake Laurenchester,Refund,November,Pending
elopez,GB32BOWD79220072027710,Mastercard,4819968755700306275,2025-12-26 16:04:37,Metro Cash & Carry India,Dining,78491.80,INR,Debit Card,East Walter,Purchase,October,Approved
vblair,GB31FXLK30266803465644,rupay,30499401867773,2025-06-17 16:45:15,DMart,Health,37394.08,INR,Debit Card,Port Brenda,Purchase,July,Approved
jacksontiffany,GB69BPIZ35347126786374,VISA,3537470844917600,2025-12-14 17:25:07,Meesho,Dining,14755.06,INR,Bank Transfer,Pamelaside,Purchase,April,Reversed
dclarke,GB14IYUF00543985666014,chhupay,6011822606963198,2025-08-25 23:45:34,Shoppers Stop,Health,96416.97,INR,NEFT,Paulburgh,Purchase,December,Pending
lgomez,GB73SPIU64274654515343,saphiro,3588634700720956,2025-03-22 01:56:13,Nykaa,Travel,37628.99,INR,RTGS,North Danielle,Refund,February,Declined
cassandra79,GB61NJOO07611747318269,American Express,676224922069,2025-05-09 02:18:07,Reliance Fresh,Grocery,91627.21,INR,Bank Transfer,Gabriellamouth,Purchase,April,Declined
kelly35,GB48TFYS69505967176644,chhupay,6011154990263690,2025-04-15 18:40:56,Fabindia,Dining,14963.02,INR,Mobile Payment,West Michael,Purchase,July,Reversed
gcastro,GB56RAAQ56300790242106,American Express,4517249313565773,2025-05-16 02:23:02,Meesho,Dining,50854.66,INR,Debit Card,Bowersborough,Refund,July,Approved
thomasortiz,GB34AGQA69936720933400,saphiro,4712425006080124464,2025-11-01 02:10:08,Spencer’s Retail,Grocery,91870.77,INR,Credit Card,Lake Kathryn,Purchase,January,Reversed
shughes,GB56BUUR26950838798947,VISA,4485296995680,2025-06-17 18:09:46,Reliance Retail,Travel,18135.53,INR,Credit Card,Port Shawn,Withdrawal,January,Declined
zrobinson,GB89HUZP36919975217610,VISA,30131252519811,2025-04-27 09:10:45,Infiniti Retail Ltd,Electronics,50254.09,INR,Credit Card,South Michael,Refund,October,Reversed
milessteven,GB84OWZY91651363855273,American Express,3509831515197521,2025-02-02 11:06:33,Pantaloons,Electronics,9735.09,INR,NEFT,North Rebekah,Refund,February,Approved
hmosley,GB83FAQT99230561063264,American Express,213109671124594,2025-06-09 19:38:07,Metro Cash & Carry India,Clothing,5780.06,INR,NEFT,Port Kathleenstad,Deposit,March,Pending
lauradavis,GB15WVPW20913414784924,amex,3501313920449274,2025-06-23 14:55:33,BigBasket,Grocery,28788.67,INR,Credit Card,Morriston,Withdrawal,August,Reversed
daniel45,GB29RSKW85129576743148,American Express,4585241382347651,2025-01-27 20:12:07,Lenskart,Clothing,2101.44,INR,Mobile Payment,Phillipsbury,Refund,June,Reversed
kelly92,GB76APCI77676943472210,saphiro,503803938227,2025-11-18 20:18:46,Aditya Birla Retai,Travel,79653.45,INR,Debit Card,New Calvin,Withdrawal,January,Pending
rossjoshua,GB82XWJZ06156491586871,saphiro,6529248769564588,2025-03-12 03:29:24,CaratLane,Clothing,22486.53,INR,NEFT,Phillipsville,Withdrawal,April,Declined
cbrown,GB93QAZS14473379427107,Discover,4595624508655911579,2025-09-28 11:09:12,Pantaloons,Clothing,14234.33,INR,Debit Card,South Ernest,Deposit,February,Declined
reynoldsjennifer,GB68WWNA16353502014201,American Express,340352713682106,2025-10-18 11:01:24,Infiniti Retail Ltd,Electronics,910.35,INR,Mobile Payment,East Melissa,Purchase,November,Approved
michael67,GB25MRLM27771289967218,Diners Club,4497020897934,2025-09-21 20:10:57,Bewakoof,Travel,51262.81,INR,Debit Card,Thompsonton,Refund,October,Reversed
mccormickcraig,GB38YLUP57922208507615,Discover,4662103302775534,2025-11-25 10:02:45,Big Bazaar,Health,49778.40,INR,Debit Card,New Davidview,Withdrawal,January,Approved
thomasortiz,GB41ENBX03210524311566,VISA,341356700305406,2025-05-28 16:02:25,BigBasket,Health,78287.43,INR,Debit Card,East Susan,Purchase,February,Declined
cindyguzman,GB52VQTK25798946911133,VISA,2488007312877451,2025-08-16 16:26:24,Godrej Consumer Products,Electronics,24211.57,INR,Credit Card,Garciamouth,Withdrawal,December,Pending
juliecarter,GB66OVRW53054073456703,rupay,30134194233004,2025-05-11 09:23:05,Shoppers Stop,Health,38055.92,INR,NEFT,South Jamiebury,Deposit,June,Approved
millerjoshua,GB22LSXD05785756945401,Maestro,6011070001744728,2025-09-07 12:01:00,Flipkart,Clothing,50102.76,INR,Mobile Payment,New Jordan,Deposit,April,Declined
xgarcia,GB98FMMJ29572864272211,American Express,4876910724409,2025-07-08 12:10:27,BigBasket,Travel,17511.91,INR,Credit Card,Port Melissa,Purchase,May,Pending
hendersonheather,GB94QQTF84138032657482,saphiro,340948265660067,2025-12-18 15:45:33,Reliance Retail,Dining,86827.47,INR,Bank Transfer,North Ryan,Withdrawal,January,Pending
kristin82,GB31ELFW34653792524561,amex,4829410535916,2025-12-23 23:59:56,Trends,Dining,82520.41,INR,UPI,Danielberg,Withdrawal,October,Approved
mfisher,GB18WUJC32642168239144,American Express,4984325201313093489,2025-02-07 12:53:43,Fabindia,Grocery,81610.03,INR,UPI,New Steven,Purchase,June,Reversed
gutierrezrenee,GB75JJVF13238603978896,Diners Club,341484541649517,2025-11-14 19:57:01,Brand Factory,Clothing,4104.31,INR,RTGS,East Gabrielle,Withdrawal,September,Declined
kyle65,GB44OBWD90210581329969,VISA,501872107385,2025-02-06 15:13:05,Nilgiris,Health,32819.60,INR,RTGS,Brookefurt,Purchase,November,Reversed
rodriguezdavid,GB92KOPC75796549437875,amex,345144607285582,2025-03-27 18:38:02,Lenskart,Health,62260.37,INR,UPI,Johnsonville,Withdrawal,January,Approved
eric48,GB05VJRM49195863727068,Discover,4176573871515710,2025-04-09 08:01:41,Nilgiris,Travel,99389.03,INR,Debit Card,North Kathleentown,Purchase,September,Reversed
qbrown,GB94RIKP26770166624982,Mastercard,4592387327430317,2025-07-18 09:46:51,Spencer’s Retail,Clothing,59327.84,INR,NEFT,Lake Michael,Refund,January,Approved
nathanmichael,GB44KOBN30366432162427,Diners Club,4123465103479828317,2025-01-02 09:28:00,Future Group,Travel,54897.00,INR,Mobile Payment,Suttonville,Refund,February,Declined
mollyrichardson,GB87AVKK48577557831822,American Express,4872683140576141,2025-03-09 18:54:55,DMart,Grocery,54542.03,INR,RTGS,South Andrew,Deposit,September,Pending
uhoward,GB59JQYH75364505111007,Mastercard,4819968755700306275,2025-02-12 06:24:18,BlueStone,Dining,64346.30,INR,UPI,Lake Elainefort,Withdrawal,January,Reversed
watsontheresa,GB33VWOY30750920847021,VISA,3571513258084701,2025-06-01 23:13:45,Avenue Supermarts,Health,85287.80,INR,RTGS,Lake Miguel,Withdrawal,January,Declined
carterdarren,GB16QREJ75636529471795,saphiro,575023974935,2025-03-10 21:20:40,FirstCry,Electronics,31882.58,INR,UPI,Davidchester,Purchase,December,Reversed
gutierrezlaurie,GB10YOGX01310367663120,VISA,4880682880597879,2025-09-20 20:41:59,Reliance Fresh,Grocery,85550.51,INR,Debit Card,West Madison,Deposit,March,Pending
david53,GB93DHJS91064269531370,chhupay,378385950483544,2025-04-22 15:44:42,JioMart,Dining,84050.90,INR,NEFT,Crosstown,Withdrawal,May,Pending
breanna26,GB71CSTQ30423828005771,Maestro,4273029256723,2025-11-03 03:10:33,Godrej Consumer Products,Clothing,70472.04,INR,Debit Card,South Antonio,Withdrawal,May,Declined
wilsonemily,GB97RVQL16048996155799,Discover,3571513258084701,2025-03-23 03:26:43,Amazon India,Grocery,39638.75,INR,Credit Card,Lake Teresastad,Deposit,October,Reversed
isanchez,GB98KZUB67878280505426,Discover,4273935398376045,2025-08-28 07:44:34,BlueStone,Health,30157.99,INR,Mobile Payment,Bradland,Refund,February,Approved
rossluis,GB10OSUM52926486702268,saphiro,4608635057793,2025-01-11 16:25:50,Big Bazaar,Grocery,5311.79,INR,UPI,Bryantchester,Withdrawal,April,Approved
davidjohnson,GB41IZMI47375246214858,amex,4663428725827681161,2025-12-26 14:31:25,Reliance Digital,Electronics,64951.86,INR,Mobile Payment,Toddside,Purchase,December,Approved
andrewpowell,GB76PKFG82479960845293,saphiro,38744169234381,2025-05-30 14:31:05,Infiniti Retail Ltd,Electronics,39413.61,INR,Credit Card,North Jeremyburgh,Purchase,April,Declined
monicaburns,GB31XSNV56855594149819,American Express,36524847923593,2025-05-17 15:40:09,Shoppers Stop,Dining,98789.12,INR,UPI,South Travisview,Refund,August,Reversed
timothymason,GB09OBQA33178579453268,VISA,4160637296713677,2025-04-20 03:43:09,Reliance Retail,Grocery,91741.15,INR,NEFT,Port Davidstad,Withdrawal,May,Declined
danielgarcia,GB98JGML94552698608909,Diners Club,3513069450575534,2025-07-21 22:20:26,FirstCry,Grocery,80965.44,INR,Debit Card,Cookborough,Withdrawal,January,Reversed
allenlauren,GB12DZPW30150271742853,saphiro,180096878980622,2025-10-27 21:44:54,Reliance Retail,Electronics,3089.33,INR,Mobile Payment,Josephstad,Deposit,April,Pending
cmaynard,GB08FWSC16801340761654,Mastercard,342805295483977,2025-09-07 15:48:10,Brand Factory,Electronics,42992.47,INR,RTGS,Justinchester,Refund,August,Reversed
jessica00,GB04IAOX92844925839901,Maestro,30404585284936,2025-07-16 22:27:53,Spencer’s Retail,Travel,58711.86,INR,RTGS,West Brittney,Deposit,July,Declined
davidhuerta,GB89PPXY95526905785133,rupay,213158917594052,2025-02-04 19:45:28,Spencer’s Retail,Electronics,32909.02,INR,NEFT,Nicholaschester,Refund,May,Declined
hmahoney,GB21SEVR20624709351584,VISA,4542358826191690224,2025-07-21 12:29:43,Metro Cash & Carry India,Health,52920.11,INR,Bank Transfer,Ericfurt,Withdrawal,June,Reversed
johnpetty,GB39DVYE61363511558097,VISA,4605543682076,2025-03-01 07:59:58,FirstCry,Health,93341.84,INR,RTGS,Lake Bryan,Withdrawal,August,Approved
iburton,GB08JKSN92035854887874,chhupay,3500927078269977,2025-01-09 19:31:50,Reliance Fresh,Travel,52203.93,INR,RTGS,Guzmanview,Deposit,July,Approved
sheryl44,GB04ACAD82256557359145,Discover,3511314019077834,2025-09-10 23:54:50,BigBasket,Health,44043.74,INR,Mobile Payment,Jacksonmouth,Withdrawal,September,Reversed
whitediane,GB34INHC23366532383997,chhupay,4364456371232,2025-07-15 09:25:19,Avenue Supermarts,Travel,70891.49,INR,Mobile Payment,New Shannonchester,Withdrawal,March,Pending
mosessamuel,GB82THLT07361958023341,Diners Club,213161898500502,2025-08-07 02:20:44,DMart,Electronics,51194.26,INR,Bank Transfer,Lake Juan,Withdrawal,September,Reversed
kevingreene,GB81DFXR97335868501091,chhupay,3563791695117827,2025-10-28 03:38:24,BigBasket,Travel,3924.45,INR,Mobile Payment,Williamtown,Withdrawal,December,Approved
cjones,GB12IMQE39489669504923,VISA,4035891289780291,2025-12-23 18:24:44,Urban Ladder,Health,41758.05,INR,NEFT,Kimberlychester,Purchase,April,Declined
cookcindy,GB22FEXJ76543402870114,VISA,213195449950428,2025-08-10 02:35:29,JioMart,Grocery,54481.07,INR,Debit Card,Jennyshire,Refund,August,Declined
tanya26,GB70QFMP99371400832249,amex,3513069450575534,2025-07-17 09:05:39,Foodhall,Dining,62478.10,INR,Credit Card,New Christopherfort,Refund,November,Approved
nguyenstephen,GB08DXXP06326627288978,American Express,3548632558901438,2025-04-03 06:20:55,IKEA India,Grocery,94367.40,INR,NEFT,Bensonfurt,Withdrawal,February,Pending
baldwinjoseph,GB98OHLA07010128265864,Discover,3529310258953420,2025-09-14 14:18:52,Infiniti Retail Ltd,Health,66517.34,INR,RTGS,East Amanda,Withdrawal,July,Declined
salinaschase,GB37NKQO27795667684126,VISA,340201160096817,2025-07-05 21:22:48,JioMart,Dining,52966.58,INR,Debit Card,Christopherberg,Withdrawal,May,Reversed
qbrown,GB69ITGR81497825825936,chhupay,213121626796053,2025-07-05 13:01:10,Shoppers Stop,Health,98556.85,INR,Credit Card,West Reneeshire,Refund,May,Declined
heidipalmer,GB52CXKC48873860483246,rupay,4918884639108625463,2025-03-15 01:50:49,Brand Factory,Electronics,63663.98,INR,RTGS,Liumouth,Deposit,February,Reversed
snydercharles,GB37TLKE23881519343363,Mastercard,38657631239517,2025-05-01 08:21:04,Flipkart,Clothing,58008.79,INR,Debit Card,Riveraville,Deposit,July,Reversed
andreaguerrero,GB39ZBHG70170306302467,Maestro,4077124176946880484,2025-09-12 04:10:47,Shoppers Stop,Dining,15441.88,INR,NEFT,North Stephanie,Deposit,July,Declined
jacksonmatthew,GB62CUHJ79271770823723,Discover,180083014422677,2025-05-22 08:17:49,V-Mart Retail Ltd,Grocery,56162.87,INR,Mobile Payment,Millerhaven,Withdrawal,September,Approved
meganjones,GB73DOFN27004784391811,Diners Club,345937975356327,2025-07-07 12:58:40,BlueStone,Dining,66102.30,INR,NEFT,Hollyberg,Withdrawal,December,Approved
riveramargaret,GB82IAFC21199469564941,Maestro,36816195569485,2025-06-13 02:25:10,Snapdeal,Dining,59514.54,INR,Mobile Payment,Chloebury,Refund,July,Pending
qsharp,GB47OFXF62412349999293,Diners Club,4567556535822538,2025-01-28 10:30:30,Fabindia,Dining,33152.00,INR,RTGS,Davisfort,Deposit,July,Pending
chadcoleman,GB90SMQF41170014488875,Mastercard,4870873034534,2025-04-11 03:27:33,Infiniti Retail Ltd,Travel,46999.71,INR,Debit Card,West Sheila,Purchase,December,Approved
valenciacarol,GB75OGWG93396069063102,VISA,340352713682106,2025-08-04 09:27:15,Zivame,Electronics,1541.07,INR,RTGS,North Mary,Purchase,July,Pending
robersonphilip,GB71INBZ35598813612692,Diners Club,30088834166042,2025-12-03 13:41:33,HyperCity,Electronics,72375.58,INR,Mobile Payment,Lake Gailshire,Withdrawal,May,Declined
juan71,GB49LHQO43094132446225,VISA,4062593689827,2025-05-09 11:39:03,Titan Company,Travel,57886.46,INR,RTGS,West Dennismouth,Withdrawal,March,Pending
cmoore,GB57KPFB44762794882447,amex,36947213470230,2025-05-27 23:05:53,V-Mart Retail Ltd,Travel,5103.44,INR,Mobile Payment,Lake Waltermouth,Purchase,February,Pending
mullinsjessica,GB63GZAW29897577388160,chhupay,4856731645949550,2025-07-13 13:11:49,Myntra,Dining,29665.41,INR,Mobile Payment,East Williamshire,Purchase,September,Approved
carolyn69,GB87JIVN68904061131057,Discover,3561120315862509,2025-10-31 18:08:46,Reliance Digital,Travel,98440.32,INR,Mobile Payment,Lake Lisastad,Withdrawal,November,Pending
blake42,GB82QXRG37882517049872,Maestro,3535900652708578,2025-10-17 09:35:43,Zivame,Travel,27151.86,INR,RTGS,Flynnland,Deposit,January,Approved
deborah20,GB33UYPR04729084457427,Discover,4223982756841973376,2025-01-20 13:18:27,Godrej Consumer Products,Grocery,86123.97,INR,RTGS,West Gailhaven,Refund,May,Approved
kennethchung,GB17XMXA29379011589251,VISA,30424979745151,2025-05-09 09:53:34,Pantaloons,Health,78113.51,INR,Credit Card,Julieville,Refund,August,Reversed
pcarpenter,GB43WPCL03270947090250,VISA,4275776322889,2025-07-23 04:02:44,CaratLane,Travel,81379.23,INR,NEFT,Princeland,Refund,June,Pending
justinrandolph,GB88HKCL02913571017046,VISA,3529271642605482,2025-08-29 06:32:07,Nilgiris,Dining,72490.26,INR,UPI,Keithhaven,Refund,August,Reversed
jchavez,GB26UNYR82318869446950,saphiro,213104643615977,2025-07-19 16:43:14,Nilgiris,Dining,70401.58,INR,Mobile Payment,Lake Mark,Withdrawal,January,Pending
amurphy,GB71KOMM30617508964556,Discover,676220467846,2025-05-23 06:35:57,Pepperfry,Electronics,17899.21,INR,UPI,Smithfurt,Deposit,August,Declined
hamiltonbrandon,GB56LNFT32698090223721,Mastercard,378130841396285,2025-04-01 02:26:45,Meesho,Travel,91622.12,INR,Credit Card,Racheltown,Refund,January,Reversed
jball,GB72XOLS62505064584679,VISA,3558258432226862,2025-03-28 13:31:41,FirstCry,Grocery,90109.15,INR,UPI,East Anthony,Refund,January,Reversed
zrobinson,GB69ENFV22670890051648,Mastercard,4584890372435,2025-07-26 14:43:16,DMart,Dining,30122.58,INR,RTGS,Lake Amandaville,Withdrawal,April,Approved
cynthiadominguez,GB25GRVS98815074125129,American Express,344353618713604,2025-03-13 19:57:53,Brand Factory,Travel,2785.07,INR,RTGS,Foxstad,Deposit,February,Reversed
austintorres,GB23YTLJ46806226387121,Discover,30528018153522,2025-01-21 05:58:17,Westside,Electronics,64699.03,INR,Mobile Payment,Harperview,Purchase,June,Reversed
williamsmichael,GB67UUKC44396784338409,amex,4975862461414,2025-02-13 04:30:26,Tata CLiQ,Clothing,84116.69,INR,UPI,Davisshire,Refund,May,Declined
robert07,GB94MREO18445681883931,chhupay,6525610482824587,2025-08-12 03:19:38,Reliance Digital,Electronics,12917.63,INR,Credit Card,Port Shane,Refund,September,Declined
housebrittany,GB43PNRS78359722360052,VISA,2710152745375762,2025-06-14 00:32:43,Metro Cash & Carry India,Grocery,62057.26,INR,NEFT,Millerfurt,Deposit,November,Declined
palmerjeffrey,GB47XICS01339180031608,rupay,344414180431809,2025-03-27 05:19:35,Urban Ladder,Travel,28606.88,INR,Mobile Payment,Rodriguezton,Deposit,February,Declined
cbaker,GB98EBMJ30134457480484,saphiro,676331055068,2025-03-12 12:05:24,FirstCry,Health,56982.70,INR,Credit Card,New Ginatown,Refund,October,Reversed
yolandabailey,GB66GAKY93462202104897,Mastercard,180085721712985,2025-07-18 01:35:00,Spar Hypermarket,Travel,85889.19,INR,Debit Card,Perezmouth,Deposit,December,Pending
mullinsjessica,GB22DUGR75300283756928,VISA,346608329322278,2025-11-09 02:37:52,Snapdeal,Grocery,92988.13,INR,Credit Card,Blankenshipside,Refund,July,Reversed
frank12,GB74SYKT99435054183444,Maestro,501881542648,2025-04-12 06:17:58,Lenskart,Electronics,44452.62,INR,Bank Transfer,Christophershire,Refund,July,Pending
gonzalesdana,GB02MIDJ71834223637504,Mastercard,4518166121423,2025-02-07 23:52:39,Zivame,Electronics,56600.32,INR,Bank Transfer,Smithport,Purchase,March,Reversed
amanda32,GB53YSEV11967786685299,VISA,4557948711156678,2025-02-17 09:13:43,V-Mart Retail Ltd,Grocery,44695.45,INR,Mobile Payment,Thomasmouth,Purchase,February,Declined
collinsalison,GB61IRIP94324460546932,Mastercard,3545931447006356,2025-05-15 17:23:48,ShopClues,Grocery,79822.96,INR,RTGS,Lake Tamarafort,Refund,January,Approved
amanda19,GB05LBAD80017353257784,VISA,6011125725118557,2025-02-03 20:34:03,Brand Factory,Grocery,63039.38,INR,RTGS,Jaimeshire,Deposit,June,Declined
valeriejohnson,GB14VHCQ09942803781975,VISA,4936807145242581,2025-11-11 07:07:47,CaratLane,Grocery,98372.42,INR,Bank Transfer,South Lisa,Refund,October,Pending
xgarcia,GB42LOEX10304794192159,VISA,4611262928803955,2025-09-16 23:37:01,Nykaa,Electronics,26237.14,INR,Bank Transfer,New Joel,Purchase,June,Reversed
jacobspamela,GB74BDMX45703446819801,VISA,180047743747241,2025-11-16 09:50:35,Spar Hypermarket,Travel,75642.11,INR,Mobile Payment,Frankbury,Deposit,August,Declined
aprilwilliams,GB43GUQV23965188308053,chhupay,4087820120260376,2025-09-25 09:34:42,Brand Factory,Health,33683.12,INR,Mobile Payment,South Samantha,Purchase,March,Declined
brownmelinda,GB62DIES47512550662365,VISA,180029555654129,2025-11-24 18:22:24,Decathlon India,Electronics,95028.67,INR,Bank Transfer,Lake Rebeccamouth,Withdrawal,June,Reversed
landerson,GB12RWQV93635083265320,American Express,3502178987226785,2025-01-04 05:02:02,Infiniti Retail Ltd,Dining,22879.08,INR,UPI,New Darrenfurt,Deposit,June,Approved
fosterbrian,GB46KPBU41033926902385,amex,36859519601121,2025-07-01 22:10:21,Nilgiris,Dining,10741.18,INR,Mobile Payment,Lucaschester,Purchase,September,Approved
kristinchoi,GB05AZDD13564488672320,Maestro,3579510876901649,2025-10-15 20:58:30,DMart,Health,551.99,INR,Bank Transfer,Kimberlystad,Deposit,November,Reversed
cjones,GB42SRSH62857759224836,VISA,501801890622,2025-07-31 20:13:17,Metro Cash & Carry India,Clothing,47459.31,INR,NEFT,Christinastad,Withdrawal,August,Pending
deborah25,GB73WTLY13114306119627,VISA,3523473940285498,2025-08-08 15:55:28,Reliance Digital,Clothing,52483.29,INR,Bank Transfer,Danielleton,Deposit,August,Pending
nicholsoncharles,GB36QIOJ01356080184716,Maestro,213110592565360,2025-11-03 14:22:27,BigBasket,Grocery,20278.04,INR,Debit Card,Port Davidburgh,Withdrawal,August,Pending
perezjason,GB74RPTL04685905035237,amex,2713349375692113,2025-03-27 01:09:30,Westside,Travel,87702.23,INR,NEFT,Debbieside,Withdrawal,July,Reversed
wpatrick,GB39EMTO42162520172811,amex,4713281866701,2025-05-26 20:46:36,Lenskart,Clothing,89641.69,INR,UPI,Wrightchester,Withdrawal,July,Pending
christine72,GB06CCDL37410313402986,saphiro,4978241470209651,2025-06-27 04:13:26,Zivame,Health,83663.29,INR,Mobile Payment,Kathleenburgh,Purchase,June,Declined
